ID,Sex,Orientation,Age,Ethnicity,ImpOppSex_Ambitious,ImpOppSex_Body,ImpOppSex_Face,ImpOppSex_Kids,ImpOppSex_Stable,ImpOppSex_Sex,ImpOppSex_Finances,ImpOppSex_Generous,ImpOppSex_Humor,ImpOppSex_Healthy,ImpOppSex_Independent,ImpOppSex_Intelligent,ImpOppSex_Kind,ImpOppSex_Loyal,ImpOppSex_Responsible,ImpOppSex_Sociable,ImpYou_Ambitious,ImpYou_Body,ImpYou_Face,ImpYou_Kids,ImpYou_Stable,ImpYou_Sex,ImpYou_Finances,ImpYou_Generous,ImpYou_Humor,ImpYou_Healthy,ImpYou_Independent,ImpYou_Intelligent,ImpYou_Kind,ImpYou_Loyal,ImpYou_Responsible,ImpYou_Sociable,You_Relative_Ambitious,You_Relative_Body,You_Relative_Face,You_Relative_Kids,You_Relative_Stable,You_Relative_Sex,You_Relative_Finances,You_Relative_Generous,You_Relative_Humor,You_Relative_Healthy,You_Relative_Independent,You_Relative_Intelligent,You_Relative_Kind,You_Relative_Loyal,You_Relative_Responsible,You_Relative_Sociable,You_Relative_Overall,Status,Partner_Ambitious,Partner_Body,Partner_Face,Partner_Kids,Partner_Stable,Partner_Sex,Partner_Finances,Partner_Generous,Partner_Humor,Partner_Healthy,Partner_Independent,Partner_Intelligent,Partner_Kind,Partner_Loyal,Partner_Responsible,Partner_Sociable,Partner_Compared_Overall
1959,Female,Heterosexual,20,Other,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,,0,0,3,0,0,-2,2,3,2,3,3,3,3,7,In a committed relationship,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10
2132,Female,Heterosexual,32,African American or Black,9,7,8,8,8,7,9,9,9,9,9,8,9,9,9,8,9,7,7,9,9,8,9,9,9,9,9,9,9,9,9,8,3,0,1,3,0,2,0,2,2,2,2,2,2,2,2,1,8,"Single, dating",,,,,,,,,,,,,,,,,
2016,Female,Heterosexual,20,Non-Hispanic White,9,7,8,8,8,8,9,9,7,7,8,9,9,9,9,7,9,7,8,9,9,9,9,9,7,7,8,9,9,9,9,7,3,2,2,2,2,2,1,1,1,1,1,3,2,2,3,1,8,"Single, not dating",,,,,,,,,,,,,,,,,
2134,Female,Heterosexual,21,African American or Black,5,8,9,5,6,7,9,6,6,6,5,6,8,9,9,7,9,9,9,9,9,9,9,9,9,9,7,7,7,9,8,8,3,3,3,3,0,1,3,3,3,2,2,2,3,3,3,2,7,"Single, not dating",,,,,,,,,,,,,,,,,
1879,Female,Heterosexual,24,Latino or Hispanic,8,8,8,9,,7,9,8,9,7,8,5,5,6,7,4,9,7,8,9,7,4,9,9,9,9,9,6,7,9,8,4,2,0,2,3,2,-1,-1,3,1,0,3,2,2,2,3,0,7,In a committed relationship,0,0,1,2,2,3,2,2,3,0,-1,-1,1,2,0,-1,6
2129,Female,Heterosexual,23,Latino or Hispanic,5,5,5,6,9,5,9,8,8,9,9,8,9,9,9,9,5,5,5,5,9,5,9,9,9,9,9,9,9,9,9,9,0,0,0,0,3,0,3,3,3,3,3,3,3,3,3,2,7,In a committed relationship,1,1,2,1,3,1,3,3,3,3,3,3,3,3,3,3,8
1962,Female,Heterosexual,20,Non-Hispanic White,6,8,8,8,7,8,9,7,7,8,8,8,9,9,9,9,6,8,8,8,7,8,8,9,8,8,7,8,9,9,9,9,1,2,2,2,0,3,1,3,1,2,3,2,3,3,2,3,8,"Single, dating",,,,,,,,,,,,,,,,,
2050,Male,Heterosexual,20,Latino or Hispanic,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,6,6,7,7,8,7,7,9,9,9,8,0,-1,-1,0,1,-2,-2,1,-1,2,1,1,3,3,3,3,6,"Single, dating",,,,,,,,,,,,,,,,,
2122,Male,,21,African American or Black,8,7,8,8,4,5,7,6,7,5,6,7,7,7,6,7,8,8,8,8,9,5,8,8,9,5,7,8,9,9,8,9,2,0,0,1,0,-1,0,2,2,-1,-2,1,3,2,0,1,8,In a committed relationship,0,1,1,2,-2,3,1,0,-1,1,2,3,-2,3,2,-1,7
2011,Female,Heterosexual,22,Latino or Hispanic,9,5,6,8,9,7,9,9,8,8,9,9,9,9,9,8,9,5,6,8,9,6,9,9,8,9,9,9,9,9,9,8,2,2,2,3,3,2,2,3,2,3,3,3,3,3,3,3,9,In a committed relationship,2,0,2,3,3,3,2,2,2,3,3,2,3,2,3,2,9
2118,Male,Heterosexual,18,Non-Hispanic White,6,7,7,8,8,5,8,8,6,9,5,6,7,9,9,9,6,6,6,7,8,5,9,8,4,9,4,6,6,9,9,9,1,1,1,2,2,0,-1,2,-1,1,-1,2,2,2,2,1,8,"Single, not dating",,,,,,,,,,,,,,,,,
2120,Male,Heterosexual,21,Asian or Asian American,7,5,5,3,8,8,7,7,8,5,5,5,5,6,6,6,7,8,8,6,8,9,5,6,6,9,9,7,8,9,9,7,1,0,1,1,1,-1,0,0,2,1,1,2,-1,0,-1,0,8,"Single, not dating",,,,,,,,,,,,,,,,,
2064,Female,Heterosexual,20,Latino or Hispanic,5,6,7,9,8,1,5,7,8,5,6,8,9,9,9,5,5,6,7,9,8,1,6,8,8,5,6,8,9,9,9,5,-1,0,0,2,2,-3,-2,2,,-2,0,0,2,3,1,-1,7,"Single, dating",,,,,,,,,,,,,,,,,
2005,Female,Heterosexual,23,Non-Hispanic White,5,5,6,9,9,9,9,9,9,9,9,9,9,9,9,7,7,6,7,9,9,7,9,9,9,9,9,9,9,9,9,7,0,-1,0,3,2,2,-1,2,2,2,3,-1,2,3,3,0,4,In a committed relationship,2,2,2,1,1,0,2,3,3,1,3,3,3,3,3,-1,8
2048,Male,Heterosexual,21,Latino or Hispanic,9,7,9,8,8,7,5,6,6,7,7,8,9,8,9,8,9,8,9,5,7,8,5,7,6,8,7,7,8,9,8,6,1,3,3,1,1,2,2,3,0,3,1,1,3,3,3,3,9,In a committed relationship,3,2,1,1,2,1,0,0,-1,3,2,2,1,2,2,1,8
2111,Female,Heterosexual,36,African American or Black,9,5,5,1,9,8,9,7,8,8,9,9,8,9,8,8,9,5,5,1,9,8,9,8,8,8,9,9,8,9,8,8,3,2,2,-3,3,2,3,2,2,2,3,3,3,3,3,1,7,In a committed relationship,3,0,1,-3,2,1,3,1,0,-1,3,0,1,1,2,3,5
2113,Male,Heterosexual,20,Latino or Hispanic,7,7,9,7,8,5,8,8,8,8,7,9,9,9,8,7,9,6,8,7,9,6,8,9,9,8,7,9,9,9,8,6,2,1,2,0,2,1,2,3,3,2,2,3,3,3,2,3,8,"Single, not dating",,,,,,,,,,,,,,,,,
1625,Female,Heterosexual,22,Latino or Hispanic,8,7,7,9,8,6,9,8,8,7,7,8,8,9,9,7,9,6,6,9,8,6,9,9,9,6,7,7,8,9,9,7,-1,-1,-1,2,-1,0,-1,2,2,0,-3,0,2,2,1,0,4,"Single, not dating",,,,,,,,,,,,,,,,,
2075,Female,Heterosexual,19,Latino or Hispanic,8,7,7,7,9,6,8,8,8,8,6,8,9,9,9,8,8,7,7,7,8,6,8,,8,8,8,8,9,9,9,9,3,0,0,0,1,0,1,2,2,1,2,3,3,3,3,3,8,In a committed relationship,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,10
2099,Female,Heterosexual,22,Latino or Hispanic,5,8,8,5,9,9,7,5,8,8,7,6,6,9,9,9,7,5,7,7,9,9,8,8,8,8,6,9,9,9,9,6,3,1,1,2,2,0,-1,1,0,2,2,2,2,3,3,0,7,In a committed relationship,1,0,2,3,3,3,3,0,1,1,1,3,3,3,1,1,
2074,Male,Heterosexual,20,Latino or Hispanic,9,7,8,9,6,7,6,9,9,9,7,7,9,9,8,7,8,7,8,9,8,7,6,9,9,9,7,7,9,9,7,7,2,2,2,3,1,1,2,1,3,3,2,1,3,2,1,1,8,"Single, not dating",,,,,,,,,,,,,,,,,
2094,Male,Heterosexual,19,Non-Hispanic White,5,6,8,7,7,7,6,8,7,5,6,6,8,8,7,6,6,6,7,8,7,7,6,8,7,6,6,7,9,9,8,6,1,1,1,2,2,1,2,2,2,2,2,1,3,3,3,-1,6,"Single, not dating",,,,,,,,,,,,,,,,,
2102,Female,Heterosexual,19,Non-Hispanic White,7,6,8,5,9,7,3,6,7,5,5,8,8,8,8,8,9,5,6,8,9,8,7,9,9,7,8,9,9,9,9,9,2,0,1,2,3,3,2,3,3,1,2,3,3,3,3,3,8,In a committed relationship,1,3,3,3,3,3,-1,3,3,3,-1,2,3,3,0,3,9
